firstName,lastName,adp,adpsd,position,proj,projsd
Scottie,Scheffler,1,0.6786,G,1,1
Xander,Schauffele,2,0.8294,G,1,1
Ludvig,Aberg,3,0.9744,G,1,1
Hideki,Matsuyama,4,1.1136,G,1,1
Byeong Hun,An,5,1.247,G,1,1
Rory,McIlroy,6,1.3746,G,1,1
Shane,Lowry,7,1.4964,G,1,1
Tony,Finau,8,1.6124,G,1,1
Tom,Hoge,9,1.7226,G,1,1
Tommy,Fleetwood,10,1.827,G,1,1
Sam,Burns,11,1.9256,G,1,1
Collin,Morikawa,12,2.0184,G,1,1
Taylor,Pendrith,13,2.1054,G,1,1
Patrick,Cantlay,14,2.1866,G,1,1
Russell,Henley,15,2.262,G,1,1
Sungjae,Im,16,2.3316,G,1,1
Wyndham,Clark,17,2.3954,G,1,1
Christiaan,Bezuidenhout,18,2.4534,G,1,1
Akshay,Bhatia,19,2.5056,G,1,1
Billy,Horschel,20,2.552,G,1,1
Viktor,Hovland,21,2.5926,G,1,1
Adam,Scott,22,2.6274,G,1,1
Chris,Kirk,23,2.6564,G,1,1
Aaron,Rai,24,2.6796,G,1,1
Robert,Macintyre,25,2.697,G,1,1
Justin,Thomas,26,2.7086,G,1,1
Keegan,Bradley,27,2.7144,G,1,1
Sahith,Theegala,28,2.7144,G,1,1
Sepp,Straka,29,2.7086,G,1,1
Matthieu,Pavon,30,2.697,G,1,1
